song_name,segment,condition,ssm_corr,novelty_corr_raw,novelty_corr,beat_peak_align,beat_valley_align,trans_smooth
Ariana_Grande_-_Into_You,06_chorus,diffusion_only,0.38983315387314793,0.6889276312202134,1.0,0.0,0.0,0.9973279893119572
Ariana_Grande_-_Into_You,06_chorus,oscillator_only,0.36193983432492316,0.8010697917277476,1.0,0.0,0.0,1.0
Ariana_Grande_-_Into_You,06_chorus,retrieval,0.47059407760411753,0.8317274356343196,1.0,0.0,0.0,1.0
Avicii_-_Levels_-_Radio_Edit,02_intro,full,0.2584546926330808,-0.8677309278160195,1.0,0.07035061340267589,0.057818748995673526,0.9907542579075426
Avicii_-_Levels_-_Radio_Edit,02_intro,diffusion_only,0.17367960859935197,0.8944593913069916,1.0,0.0,0.0,0.9961070559610705
Avicii_-_Levels_-_Radio_Edit,02_intro,oscillator_only,0.2583273270655423,-0.9917277504152016,1.0,0.0,0.0,1.0
Avicii_-_Levels_-_Radio_Edit,02_intro,retrieval,0.09943525498513539,0.9868226423349689,1.0,0.0,0.0,0.9994322789943227
Avicii_-_Levels_-_Radio_Edit,03_chorus,full,0.12398700635673579,0.4166323490534196,0.6499794094320518,0.0,0.0,0.9973196881091618
Avicii_-_Levels_-_Radio_Edit,03_chorus,diffusion_only,0.28869101321322854,0.5914866339386309,1.0,0.0,0.0,0.9986598440545809
Avicii_-_Levels_-_Radio_Edit,03_chorus,oscillator_only,0.15349799129242792,0.5262826956221721,1.0,0.0,0.0,1.0
Avicii_-_Levels_-_Radio_Edit,03_chorus,retrieval,0.13921010692026853,0.5392065171453735,1.0,0.0,0.0,0.9996345029239766
Avicii_-_Levels_-_Radio_Edit,04_inst,full,0.21724775651180475,0.5747187654837679,1.0,5.5912976313709425e-05,6.091994430718161e-09,0.9946393762183235
Avicii_-_Levels_-_Radio_Edit,04_inst,diffusion_only,0.2876331385401372,0.5011608063726349,1.0,0.0,0.0,0.9973196881091618
