song_name,segment,rig,mean_intensity_corr,peak_intensity_corr,dynamic_range_corr,hue_corr,sat_corr,unique_positions
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,direct_club,0.47250921363391774,0.25866937194581646,0.20366501461570222,0.6376378950005915,0.8000000000000002,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,club,0.9781882028697256,0.8527375230584345,0.8549660990582932,0.5924819224927819,0.8000000000000002,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,concert,0.993987489779558,0.9969342540468396,0.9969332151567674,0.7200189823594748,0.8000000000000002,19
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,led_bars,0.9848880235374392,0.999934417420298,0.9999314705177741,0.7748534952846752,0.8000000000000002,21
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,reference,1.0,1.0,1.0,1.0,1.0,33
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,direct_club,0.48927531433283517,0.38007702311690617,0.2540355628993553,0.6933844195393397,0.3198378311970838,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,club,0.9816148690270502,0.8370498497716965,0.8387622464801412,0.7006641917528312,0.382610541349565,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,concert,0.9950178567928155,0.9972884004436433,0.9970478067872742,0.8447582207849678,0.3085497344551115,19
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,led_bars,0.9876274901877834,0.9999453750272725,0.9999413000185617,0.8929360668072516,0.27000499443945897,21
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,reference,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,33
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,direct_club,0.274250445181246,0.18096969369588914,0.4955293871434983,0.9333333333333332,0.8666666666666667,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,club,0.6488648441107113,0.5230452486238928,0.8598337327837974,1.0,0.8666666666666667,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,concert,0.6617425395553819,0.6639043712605027,0.9972281135472381,1.0,0.8666666666666667,19
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,led_bars,0.6543727575469257,0.6666123449095751,0.9999418853602385,1.0,0.8666666666666667,21
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,reference,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,33
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,direct_club,0.27423584034682547,0.1809696936958892,0.4955236438446686,1.0,0.8666666666666667,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,club,0.6488628224319296,0.5230452486238928,0.859865003493038,1.0,0.8666666666666667,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,concert,0.6617482623968051,0.6639043712605028,0.9972281135472381,1.0,0.8666666666666667,19
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,led_bars,0.65438111641658,0.6666123449095751,0.9999418853602386,1.0,0.8666666666666667,21
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,reference,1.0,1.0,1.0,1.0,1.0,33
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,direct_club,0.5558643002176368,0.08849683806722557,0.4182673418768898,0.8739667647608318,0.8000000000000002,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,club,0.8492230533007076,0.9360193447107964,0.9373642657783877,0.9189707041435754,0.8000000000000002,8
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,concert,0.9967024048157378,0.9988249297950005,0.9988214465440336,0.9764517652455712,0.8000000000000002,19
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,led_bars,0.9925530181646743,0.9999745935548289,0.9999730978033293,0.9830861056492161,0.8000000000000002,21
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,reference,1.0,1.0,1.0,1.0,1.0,33
Ariana_Grande_-_Into_You,02_verse,direct_club,0.40864272857666,0.28547615977281693,0.24942131829471356,0.7367350061023518,0.8000000000000002,8
Ariana_Grande_-_Into_You,02_verse,club,0.9737302667807795,0.7867308153085041,0.792074854377975,0.8745487195196217,0.8000000000000002,8
Ariana_Grande_-_Into_You,02_verse,concert,0.9925228550333528,0.9962041042238737,0.9961913743606153,0.8885528403440645,0.8000000000000002,19
Ariana_Grande_-_Into_You,02_verse,led_bars,0.9821228315001292,0.9999300526742773,0.9999261222288715,0.8837397199994866,0.8000000000000002,21
Ariana_Grande_-_Into_You,02_verse,reference,1.0,1.0,1.0,1.0,1.0,33
Ariana_Grande_-_Into_You,03_verse,direct_club,0.43166549674119287,0.2950592253862609,0.249598880330841,0.7863369156562223,0.8000000000000002,8
Ariana_Grande_-_Into_You,03_verse,club,0.9709576110312849,0.8087193295050921,0.8128635175785321,0.827221361891537,0.8000000000000002,8
Ariana_Grande_-_Into_You,03_verse,concert,0.9919576757214003,0.9966066191371793,0.9966035042402842,0.8963177665622514,0.8000000000000002,19
Ariana_Grande_-_Into_You,03_verse,led_bars,0.9802064471715916,0.9999235055516604,0.9999185297256927,0.910748246812258,0.8000000000000002,21
Ariana_Grande_-_Into_You,03_verse,reference,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,33
Ariana_Grande_-_Into_You,04_verse,direct_club,0.4082085619488422,0.2743168135112632,0.2354977410150083,0.5956526857401526,0.8000000000000002,8
Ariana_Grande_-_Into_You,04_verse,club,0.9727656445939669,0.7761063092989126,0.7817578692125956,0.7639864503979599,0.8000000000000002,8
