song_name,segment,rig,intention_corr,hue_error,sat_mae,beat_align_delta
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,rig_a_bmfl,0.17932587378249062,0.24653127230803137,0.347441796244499,3.9045214045214256
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,rig_b_bars,0.1639823677245772,0.28500689444918575,0.36052932593514264,10.043248281246244
AKA_AKA_Junge_Junge_-_Vallut_Bass,01_intro,rig_c_mixed,0.13527926382659422,0.268053662564,0.3984245786364791,1.8245810146371753
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,rig_a_bmfl,0.01761342061524246,0.2384341511461624,0.3446584672042998,2.2389270455897545
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,rig_b_bars,0.005417280487982998,0.2729321408417621,0.3495514666200166,6.9871568280900185
AKA_AKA_Junge_Junge_-_Vallut_Bass,02_intro,rig_c_mixed,-0.01783792187305834,0.2569893055066785,0.3472443218129052,3.825549883405828
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,rig_a_bmfl,0.10904769041157837,0.09851509418136994,0.2427875441277789,40.4367106912176
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,rig_b_bars,0.14498060839359134,0.16738543499094705,0.263144786479872,47.40887132191481
AKA_AKA_Junge_Junge_-_Vallut_Bass,03_intro,rig_c_mixed,0.08157047893993719,0.15286123434764515,0.3105019371426321,62.8677766032417
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,rig_a_bmfl,0.0336727666924212,0.09532554149965312,0.08177663928554177,35.95855364148048
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,rig_b_bars,0.1259408364314256,0.1570034671838799,0.11266462207686702,23.113487819370164
AKA_AKA_Junge_Junge_-_Vallut_Bass,04_verse,rig_c_mixed,0.04115181175078819,0.13810815256247094,0.17473671715726452,42.59601832276248
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,rig_a_bmfl,-0.06809195748354853,0.09640547495623715,0.21952614013383145,30.740812755201247
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,rig_b_bars,-0.034749788917552954,0.14452530893317153,0.2040628353309642,29.9811487708229
AKA_AKA_Junge_Junge_-_Vallut_Bass,05_chorus,rig_c_mixed,-0.08558395399821095,0.1270842261616972,0.30936485039655653,25.69944044764188
Ariana_Grande_-_Into_You,02_verse,rig_a_bmfl,0.2452907349053483,0.15945043187732358,0.13050217671102657,8.88888888888888
Ariana_Grande_-_Into_You,02_verse,rig_b_bars,0.20887949335043307,0.2659229385149108,0.1960846731607456,6.3304093567251405
Ariana_Grande_-_Into_You,02_verse,rig_c_mixed,0.15052854556473322,0.252844647978487,0.2931798975867677,12.038885527996229
Ariana_Grande_-_Into_You,03_verse,rig_a_bmfl,0.052575338386876544,0.09093867260204966,0.32410062809252016,11.413043478260878
Ariana_Grande_-_Into_You,03_verse,rig_b_bars,0.0456120309850609,0.15982686039900762,0.34822322953182877,9.240362811791378
Ariana_Grande_-_Into_You,03_verse,rig_c_mixed,0.0077344773740021106,0.14123014119942612,0.40600167392318737,14.558607130795584
Ariana_Grande_-_Into_You,04_verse,rig_a_bmfl,0.16379517170262148,0.14894167440871714,0.23991264217580274,15.966386554621847
Ariana_Grande_-_Into_You,04_verse,rig_b_bars,0.14514079460330057,0.2290943136218845,0.27971653165071236,0.5936271974007898
Ariana_Grande_-_Into_You,04_verse,rig_c_mixed,0.09413581408450172,0.2101211420255114,0.35936696420014314,10.524352191018863
Ariana_Grande_-_Into_You,05_chorus,rig_a_bmfl,0.21603804701838492,0.12934020022892356,0.13321385460628027,67.43066457352168
Ariana_Grande_-_Into_You,05_chorus,rig_b_bars,0.20292621579967668,0.1630408407203863,0.16768423184840384,64.40422322775262
Ariana_Grande_-_Into_You,05_chorus,rig_c_mixed,0.16602948412718677,0.15537792102517525,0.25555818042562756,42.33925473023215
Ariana_Grande_-_Into_You,06_chorus,rig_a_bmfl,0.31645940007512696,0.09982439818783655,0.1508060497839779,4.755770263016645
Ariana_Grande_-_Into_You,06_chorus,rig_b_bars,0.2900262040933798,0.134318434354525,0.17314038030602247,6.613945578231306
Ariana_Grande_-_Into_You,06_chorus,rig_c_mixed,0.2733156754009577,0.12616498615426405,0.2382591545037601,5.259404872032064
Avicii_-_Levels_-_Radio_Edit,02_intro,rig_a_bmfl,0.24629248115896668,0.16024892356846077,0.29134152026115856,1.4381914381914385
Avicii_-_Levels_-_Radio_Edit,02_intro,rig_b_bars,0.21609217834354316,0.21159421829021813,0.32813278314433236,4.040635980934493
